date,Open,High,Low,Close,Adj Close,Volume,DollarPrice,DollarChangeRate,OilPrice,OilChangeRate,Interest,InterestRateChange,copper,copperChangeRate,nextdayprice,result
2018-06-26,98.82,100.080002,98.75,99.080002,93.914513,26897200,94.66,0.4,70.53,3.6,1.92,0,3.005,0.22,97.540001,0
2018-06-27,99.580002,100.019997,97.400002,97.540001,92.454781,31298400,95.27,0.64,72.76,3.16,1.91,-0.52,2.9975,-0.25,98.629997,1
2018-06-28,97.379997,99.110001,97.260002,98.629997,93.487946,26650700,95.39,0.13,73.45,0.95,1.91,0,2.9715,-0.87,98.610001,0
2018-06-29,98.93,99.910004,98.330002,98.610001,93.469002,28053200,94.64,-0.79,74.15,0.95,1.91,0,2.966,-0.19,100.010002,1
2018-07-02,98.099998,100.059998,98,100.010002,94.796005,19564500,95.03,0.41,73.94,-0.28,1.91,0,2.944,-0.74,99.050003,0
2018-07-03,100.480003,100.629997,98.940002,99.050003,93.886063,14670300,94.67,-0.38,74.14,0.27,1.91,0,2.917,-0.92,99.760002,1
2018-07-05,99.5,99.919998,99.029999,99.760002,94.559052,18977400,94.47,-0.21,72.94,-1.61,1.91,0,2.826,-3.12,101.160004,1
2018-07-06,99.889999,101.43,99.669998,101.160004,95.886055,19234600,94.04,-0.46,73.8,1.18,1.91,0,2.824,-0.07,101.849998,1
2018-07-09,101.650002,102.25,101.25,101.849998,96.540092,18212000,94.08,0.04,73.85,0.07,1.91,0,2.85,0.92,102.120003,1
2018-07-10,102,102.510002,101.860001,102.120003,96.796013,19293100,94.15,0.07,74.11,0.35,1.91,0,2.8395,-0.37,101.980003,0
2018-07-11,101.150002,102.339996,101.099998,101.980003,96.6633,19644600,94.72,0.61,70.38,-5.03,1.91,0,2.7435,-3.38,104.190002,1
2018-07-12,102.769997,104.410004,102.730003,104.190002,98.758095,24335900,94.81,0.1,70.33,-0.07,1.91,0,2.777,1.22,105.43,1
2018-07-13,104.370003,105.599998,104.089996,105.43,99.933456,24635200,94.75,-0.06,71.01,0.97,1.91,0,2.7755,-0.05,104.910004,0
2018-07-16,105.400002,105.82,104.519997,104.910004,99.440552,21786900,94.51,-0.25,68.06,-4.15,1.91,0,2.7645,-0.4,105.949997,1
2018-07-17,104.610001,106.5,104.32,105.949997,100.426331,25901700,94.94,0.45,68.08,0.03,1.91,0,2.747,-0.63,105.120003,0
2018-07-18,105.940002,106.050003,104.720001,105.120003,99.639587,29493900,95.08,0.15,68.76,1,1.91,0,2.76,0.47,104.400002,0
2018-07-19,104.93,105.309998,103.889999,104.400002,98.957153,40171600,95.15,0.07,69.46,1.02,1.91,0,2.6955,-2.34,106.269997,1
2018-07-20,108.080002,108.199997,106.080002,106.269997,100.729668,56004000,94.45,-0.74,70.46,1.44,1.91,0,2.756,2.24,107.970001,1
2018-07-23,106.300003,108.139999,106.129997,107.970001,102.341011,29707000,94.67,0.23,67.89,-3.65,1.91,0,2.7465,-0.34,107.660004,0
2018-07-24,108.57,108.82,107.260002,107.660004,102.04718,26316600,94.61,-0.06,68.52,0.93,1.91,0,2.8105,2.33,110.830002,1
2018-07-25,107.959999,111.150002,107.599998,110.830002,105.051926,30702100,94.36,-0.26,69.3,1.14,1.91,0,2.8175,0.25,109.620003,0
2018-07-26,110.739998,111,109.5,109.620003,103.905006,31372100,94.75,0.41,69.61,0.45,1.91,0,2.818,0.02,107.68,0
2018-07-27,110.18,110.18,106.139999,107.68,102.066139,37005300,94.67,-0.08,68.69,-1.32,1.91,0,2.802,-0.57,105.370003,0
2018-07-30,107.190002,107.529999,104.760002,105.370003,99.876572,34668300,94.32,-0.37,70.13,2.1,1.91,0,2.801,-0.04,106.080002,1
2018-07-31,106.489998,106.720001,105.379997,106.080002,100.549545,27655200,94.49,0.18,68.76,-1.95,1.91,0,2.8405,1.41,106.279999,1
2018-08-01,106.029999,106.449997,105.419998,106.279999,100.73912,23628700,94.62,0.14,67.66,-1.6,1.91,0,2.757,-2.94,107.57,1
2018-08-02,105.400002,108.089996,104.839996,107.57,101.961884,26104300,95.16,0.57,68.96,1.92,1.91,0,2.7455,-0.42,108.040001,1
2018-08-03,107.800003,108.050003,106.82,108.040001,102.407364,18659600,95.14,-0.02,68.49,-0.68,1.91,0,2.7715,0.95,108.129997,1
2018-08-06,108.120003,108.419998,107.559998,108.129997,102.492676,20265900,95.36,0.23,69.01,0.76,1.91,0,2.7385,-1.19,108.879997,1
2018-08-07,108.559998,109.099998,108.169998,108.879997,103.203552,16080200,95.22,-0.15,69.17,0.23,1.91,0,2.759,0.75,109.489998,1
2018-08-08,109.330002,109.75,108.760002,109.489998,103.781761,15487500,95.05,-0.18,66.94,-3.22,1.91,0,2.7575,-0.05,109.669998,1
2018-08-09,109.709999,110.160004,109.599998,109.669998,103.952393,13677200,95.5,0.47,66.81,-0.19,1.91,0,2.7725,0.54,109,0
2018-08-10,109.419998,109.690002,108.379997,109,103.317322,18183700,96.36,0.9,67.63,1.23,1.91,0,2.75,-0.81,108.209999,0
2018-08-13,109.239998,109.580002,108.099998,108.209999,102.568504,18472500,96.39,0.03,67.2,-0.64,1.91,0,2.738,-0.44,109.559998,1
2018-08-14,108.559998,109.75,108.040001,109.559998,103.848114,16788300,96.73,0.35,67.04,-0.24,1.91,0,2.69,-1.75,107.660004,0
2018-08-15,108.489998,108.989998,106.82,107.660004,102.439903,29982800,96.7,-0.03,65.01,-3.03,1.91,0,2.568,-4.54,107.639999,0
2018-08-16,108.300003,108.860001,107.300003,107.639999,102.420837,21384300,96.64,-0.06,65.46,0.69,1.92,0.52,2.623,2.14,107.580002,0
2018-08-17,107.360001,107.900002,106.690002,107.580002,102.363785,18061500,96.1,-0.56,65.91,0.69,1.92,0,2.635,0.46,106.870003,0
2018-08-20,107.510002,107.900002,106.480003,106.870003,101.688194,17914200,95.9,-0.21,66.43,0.79,1.92,0,2.6745,1.5,105.980003,0
